Driver,QualifyingTime (s),Team,AvgRaceTime (s),Temperature (°C),Humidity (%),Pressure (mbar),Rainfall (mm),TrackTemp (°C),Date,Year,GP,DriverHistoricalAvg (s),Driver_Dry_Perf,Driver_Damp_Perf,Driver_Wet_Perf,Driver_Cold_Perf,Driver_Mid_Perf,Driver_Hot_Perf,Driver_HighDownforce_Perf,Driver_LowDownforce_Perf,DriverEloBefore,ConstructorEloBefore
HAM,81.164,Mercedes,92.70326315789474,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,91.56060090534528,77.1266889700948,79.17222870009248,75.87353801169591,68.44028520499108,76.61492961540628,72.33056599832915,50.0,50.0,1500.0,1500.0
RAI,81.828,Ferrari,92.70382456140352,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,92.80594805568445,42.90863771450484,32.64411027568922,44.385964912280706,32.473684210526315,42.24761036791112,51.19658119658119,50.0,50.0,1500.0,1500.0
VET,81.838,Ferrari,91.99966071428571,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,92.50001230802171,56.082192409127394,55.84986221209131,66.60818713450291,54.45697577276525,57.26731415585905,60.93739250085999,50.0,50.0,1500.0,1500.0
VER,81.879,Red Bull Racing,93.06217543859648,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,91.83299536590845,81.49326788856763,83.12763861525471,80.40204678362574,84.39644119210683,80.96251168640958,78.6787639032221,50.0,50.0,1500.0,1500.0
RIC,82.152,Red Bull Racing,92.64477192982457,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,92.70216793806463,50.92169993822845,41.91938178780284,45.45614035087719,43.50877192982456,49.00186998964838,52.16417268661851,50.0,50.0,1500.0,1500.0
MAG,83.187,Haas F1 Team,91.16,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,94.44698939881275,28.186013613014694,31.71826625386997,15.479532163742693,26.14522417153996,29.325211018146565,32.94117647058823,50.0,50.0,1500.0,1500.0
GRO,83.339,Haas F1 Team,91.06208695652174,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,94.41405391541633,30.396661588612055,26.0,44.91228070175439,27.499999999999996,31.536584744359082,39.56140350877193,50.0,50.0,1500.0,1500.0
HUL,83.532,Renault,93.1031052631579,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,93.4683945017006,35.60777094030161,30.454545454545453,57.60818713450293,30.529411764705884,36.10186819440024,39.94582043343653,50.0,50.0,1500.0,1500.0
SAI,83.577,Renault,93.3059649122807,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,92.21061462460975,59.19118363719757,58.86101809144711,31.642300194931774,62.33552631578947,58.05333944953554,64.57679124281292,50.0,50.0,1500.0,1500.0
BOT,82.089,Mercedes,93.04908771929824,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,92.46565817417928,55.985563737111725,53.52778230405736,46.4327485380117,30.474333983105915,54.58378394616679,54.76742561059512,50.0,50.0,1500.0,1500.0
ALO,83.692,McLaren,92.97615789473683,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,93.19460423358457,44.316031003666865,42.85714285714286,30.185185185185187,39.674540381454726,44.29935515873016,41.67070489523041,50.0,50.0,1500.0,1500.0
VAN,83.853,McLaren,93.09215789473684,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,94.771784732658,23.238626590987273,20.44117647058824,20.0,50.0,23.51204809409144,12.280701754385968,50.0,50.0,1500.0,1500.0
PER,84.005,Force India,93.29401754385965,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,92.42792311069464,61.65192622384255,64.03617402639726,57.91812865497077,68.47303443794672,61.37567183150479,60.2192200644213,50.0,50.0,1500.0,1500.0
STR,84.23,Williams,93.8269649122807,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,93.09350717650615,36.1061323906103,34.75969335102462,48.99331662489557,31.93378052975576,36.26209096577227,31.149611160253578,50.0,50.0,1500.0,1500.0
OCO,84.786,Force India,93.52026315789473,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,93.18457805765468,40.86084476372733,44.54013184221057,54.09774436090226,48.65966163179785,41.24747267327984,37.40310744180713,50.0,50.0,1500.0,1500.0
HAR,84.532,Toro Rosso,94.11026785714286,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,95.59666113464935,29.231563070572356,37.205882352941174,44.99999999999999,50.0,28.62286435041853,25.92105263157895,50.0,50.0,1500.0,1500.0
ERI,84.556,Sauber,92.6055,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,94.52714720541212,34.24901100791194,11.764705882352942,55.0,50.0,35.41042147853294,45.0,50.0,50.0,1500.0,1500.0
LEC,84.636,Sauber,93.74487719298244,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,92.65857434074587,68.4439419525966,57.01017249004865,57.2843567251462,69.99484004127967,66.40377852132463,74.7560326924792,50.0,50.0,1500.0,1500.0
SIR,84.922,Williams,93.21766666666667,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,94.0195644298882,16.94484577456714,13.82352941176471,85.0,50.0,19.840987272101824,3.42105263157895,50.0,50.0,1500.0,1500.0
GAS,85.295,Toro Rosso,92.19925,24.077477477477483,30.91531531531532,997.0036036036036,0.0,36.324324324324316,2018-03-25,2018,Australian Grand Prix,93.20445222933414,40.38484336753405,50.93077120044694,38.51608187134503,41.51515151515151,41.723387052189295,41.031131750945995,50.0,50.0,1500.0,1500.0
VET,87.958,Ferrari,96.9186,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,92.50001230802171,56.082192409127394,55.84986221209131,66.60818713450291,54.45697577276525,57.26731415585905,60.93739250085999,50.0,50.0,1740.0,1612.0
RAI,88.101,Ferrari,98.17887878787879,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,92.80594805568445,42.90863771450484,32.64411027568922,44.385964912280706,32.473684210526315,42.24761036791112,51.19658119658119,50.0,50.0,1772.0,1612.0
BOT,88.124,Mercedes,96.9056,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,92.46565817417928,55.985563737111725,53.52778230405736,46.4327485380117,30.474333983105915,54.58378394616679,54.76742561059512,50.0,50.0,1676.0,1644.0
HAM,88.22,Mercedes,96.89345454545455,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,91.56060090534528,77.1266889700948,79.17222870009248,75.87353801169591,68.44028520499108,76.61492961540628,72.33056599832915,50.0,50.0,1804.0,1644.0
GAS,89.329,Toro Rosso,97.94069090909092,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,93.20445222933414,40.38484336753405,50.93077120044694,38.51608187134503,41.51515151515151,41.723387052189295,41.031131750945995,50.0,50.0,1196.0,1388.0
MAG,89.358,Haas F1 Team,98.12835185185185,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,94.44698939881275,28.186013613014694,31.71826625386997,15.479532163742693,26.14522417153996,29.325211018146565,32.94117647058823,50.0,50.0,1612.0,1548.0
HUL,89.57,Renault,98.58396296296296,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,93.4683945017006,35.60777094030161,30.454545454545453,57.60818713450293,30.529411764705884,36.10186819440024,39.94582043343653,50.0,50.0,1548.0,1516.0
OCO,89.874,Force India,98.972,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,93.18457805765468,40.86084476372733,44.54013184221057,54.09774436090226,48.65966163179785,41.24747267327984,37.40310744180713,50.0,50.0,1260.0,1452.0
SAI,89.986,Renault,99.03284905660378,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,92.21061462460975,59.19118363719757,58.86101809144711,31.642300194931774,62.33552631578947,58.05333944953554,64.57679124281292,50.0,50.0,1516.0,1516.0
HAR,90.105,Toro Rosso,99.0653396226415,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,95.59666113464935,29.231563070572356,37.205882352941174,44.99999999999999,50.0,28.62286435041853,25.92105263157895,50.0,50.0,1356.0,1388.0
PER,90.156,Force India,99.0051111111111,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,92.42792311069464,61.65192622384255,64.03617402639726,57.91812865497077,68.47303443794672,61.37567183150479,60.2192200644213,50.0,50.0,1420.0,1452.0
ALO,90.212,McLaren,98.59077358490565,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,93.19460423358457,44.316031003666865,42.85714285714286,30.185185185185187,39.674540381454726,44.29935515873016,41.67070489523041,50.0,50.0,1484.0,1484.0
VAN,90.525,McLaren,98.69531481481481,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,94.771784732658,23.238626590987273,20.44117647058824,20.0,50.0,23.51204809409144,12.280701754385968,50.0,50.0,1452.0,1484.0
VER,89.374,Red Bull Racing,128.112,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,91.83299536590845,81.49326788856763,83.12763861525471,80.40204678362574,84.39644119210683,80.96251168640958,78.6787639032221,50.0,50.0,1708.0,1580.0
GRO,90.53,Haas F1 Team,99.1808679245283,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,94.41405391541633,30.396661588612055,26.0,44.91228070175439,27.499999999999996,31.536584744359082,39.56140350877193,50.0,50.0,1580.0,1548.0
ERI,91.063,Sauber,98.77909433962265,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,94.52714720541212,34.24901100791194,11.764705882352942,55.0,50.0,35.41042147853294,45.0,50.0,50.0,1324.0,1356.0
SIR,91.414,Williams,99.53920754716982,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,94.0195644298882,16.94484577456714,13.82352941176471,85.0,50.0,19.840987272101824,3.42105263157895,50.0,50.0,1228.0,1420.0
LEC,91.42,Sauber,99.11660377358491,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,92.65857434074587,68.4439419525966,57.01017249004865,57.2843567251462,69.99484004127967,66.40377852132463,74.7560326924792,50.0,50.0,1292.0,1356.0
STR,91.503,Williams,99.06545283018868,27.982524271844653,47.36310679611651,1009.4941747572815,0.0,32.19805825242719,2018-04-08,2018,Bahrain Grand Prix,93.09350717650615,36.1061323906103,34.75969335102462,48.99331662489557,31.93378052975576,36.26209096577227,31.149611160253578,50.0,50.0,1388.0,1420.0
VET,91.095,Ferrari,100.9767358490566,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,92.50001230802171,56.082192409127394,55.84986221209131,66.60818713450291,54.45697577276525,57.26731415585905,60.93739250085999,50.0,50.0,1870.457865719096,1709.0790387252382
RAI,91.182,Ferrari,101.58009259259259,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,92.80594805568445,42.90863771450484,32.64411027568922,44.385964912280706,32.473684210526315,42.24761036791112,51.19658119658119,50.0,50.0,1853.9944568537348,1709.0790387252382
BOT,91.625,Mercedes,100.42898113207546,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,92.46565817417928,55.985563737111725,53.52778230405736,46.4327485380117,30.474333983105915,54.58378394616679,54.76742561059512,50.0,50.0,1778.6349511120961,1696.7311149679506
HAM,91.675,Mercedes,100.66477358490566,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,91.56060090534528,77.1266889700948,79.17222870009248,75.87353801169591,68.44028520499108,76.61492961540628,72.33056599832915,50.0,50.0,1806.7094456552206,1696.7311149679506
VER,91.796,Red Bull Racing,100.51145283018867,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,91.83299536590845,81.49326788856763,83.12763861525471,80.40204678362574,84.39644119210683,80.96251168640958,78.6787639032221,50.0,50.0,1664.0338585623585,1562.029048543495
