GP,Year,Driver,Team,DriverPointsBefore,TeamPointsBefore,DriverRecentForm,TeamRecentForm,QualifyingTime (s),AvgRaceTime (s),StartPosition,EndPosition
Australian Grand Prix,2018,VET,Ferrari,0.0,0.0,,,81.838,91.99966071428571,3.0,1.0
Australian Grand Prix,2018,HAM,Mercedes,0.0,0.0,,,81.164,92.70326315789474,1.0,2.0
Australian Grand Prix,2018,RAI,Ferrari,0.0,0.0,,,81.828,92.70382456140352,2.0,3.0
Australian Grand Prix,2018,RIC,Red Bull Racing,0.0,0.0,,,82.152,92.64477192982457,8.0,4.0
Australian Grand Prix,2018,ALO,McLaren,0.0,0.0,,,83.692,92.97615789473683,10.0,5.0
Australian Grand Prix,2018,VER,Red Bull Racing,0.0,0.0,,,81.879,93.06217543859648,4.0,6.0
Australian Grand Prix,2018,HUL,Renault,0.0,0.0,,,83.532,93.1031052631579,7.0,7.0
Australian Grand Prix,2018,BOT,Mercedes,0.0,0.0,,,82.089,93.04908771929824,15.0,8.0
Australian Grand Prix,2018,VAN,McLaren,0.0,0.0,,,83.853,93.09215789473684,11.0,9.0
Australian Grand Prix,2018,SAI,Renault,0.0,0.0,,,83.577,93.3059649122807,9.0,10.0
Australian Grand Prix,2018,PER,Force India,0.0,0.0,,,84.005,93.29401754385965,12.0,11.0
Australian Grand Prix,2018,OCO,Force India,0.0,0.0,,,84.786,93.52026315789473,14.0,12.0
Australian Grand Prix,2018,LEC,Sauber,0.0,0.0,,,84.636,93.74487719298244,18.0,13.0
Australian Grand Prix,2018,STR,Williams,0.0,0.0,,,84.23,93.8269649122807,13.0,14.0
Australian Grand Prix,2018,HAR,Toro Rosso,0.0,0.0,,,84.532,94.11026785714286,16.0,15.0
Australian Grand Prix,2018,GRO,Haas F1 Team,0.0,0.0,,,83.339,91.06208695652174,6.0,16.0
Australian Grand Prix,2018,MAG,Haas F1 Team,0.0,0.0,,,83.187,91.16,5.0,17.0
Australian Grand Prix,2018,GAS,Toro Rosso,0.0,0.0,,,85.295,92.19925,20.0,18.0
Australian Grand Prix,2018,ERI,Sauber,0.0,0.0,,,84.556,92.6055,17.0,19.0
Australian Grand Prix,2018,SIR,Williams,0.0,0.0,,,84.922,93.21766666666667,19.0,20.0
Bahrain Grand Prix,2018,VET,Ferrari,25.0,40.0,1.0,2.0,87.958,96.9186,1.0,1.0
Bahrain Grand Prix,2018,BOT,Mercedes,4.0,22.0,8.0,5.0,88.124,96.9056,3.0,2.0
Bahrain Grand Prix,2018,HAM,Mercedes,18.0,22.0,2.0,5.0,88.22,96.89345454545455,9.0,3.0
Bahrain Grand Prix,2018,GAS,Toro Rosso,0.0,0.0,18.0,16.5,89.329,97.94069090909092,5.0,4.0
Bahrain Grand Prix,2018,MAG,Haas F1 Team,0.0,0.0,17.0,16.5,89.358,98.12835185185185,6.0,5.0
Bahrain Grand Prix,2018,HUL,Renault,6.0,7.0,7.0,8.5,89.57,98.58396296296296,7.0,6.0
Bahrain Grand Prix,2018,ALO,McLaren,10.0,12.0,5.0,7.0,90.212,98.59077358490565,13.0,7.0
Bahrain Grand Prix,2018,VAN,McLaren,2.0,12.0,9.0,7.0,90.525,98.69531481481481,14.0,8.0
Bahrain Grand Prix,2018,ERI,Sauber,0.0,0.0,19.0,16.0,91.063,98.77909433962265,17.0,9.0
Bahrain Grand Prix,2018,OCO,Force India,0.0,0.0,12.0,11.5,89.874,98.972,8.0,10.0
Bahrain Grand Prix,2018,SAI,Renault,1.0,7.0,10.0,8.5,89.986,99.03284905660378,10.0,11.0
Bahrain Grand Prix,2018,LEC,Sauber,0.0,0.0,13.0,16.0,91.42,99.11660377358491,19.0,12.0
Bahrain Grand Prix,2018,GRO,Haas F1 Team,0.0,0.0,16.0,16.5,90.53,99.1808679245283,16.0,13.0
Bahrain Grand Prix,2018,STR,Williams,0.0,0.0,14.0,17.0,91.503,99.06545283018868,20.0,14.0
Bahrain Grand Prix,2018,SIR,Williams,0.0,0.0,20.0,17.0,91.414,99.53920754716982,18.0,15.0
Bahrain Grand Prix,2018,PER,Force India,0.0,0.0,11.0,11.5,90.156,99.0051111111111,12.0,16.0
Bahrain Grand Prix,2018,HAR,Toro Rosso,0.0,0.0,15.0,16.5,90.105,99.0653396226415,11.0,17.0
Bahrain Grand Prix,2018,RAI,Ferrari,15.0,40.0,3.0,2.0,88.101,98.17887878787879,2.0,18.0
Bahrain Grand Prix,2018,VER,Red Bull Racing,8.0,20.0,6.0,5.0,89.374,128.112,15.0,19.0
Bahrain Grand Prix,2018,RIC,Red Bull Racing,12.0,20.0,4.0,5.0,88.398,,4.0,20.0
Chinese Grand Prix,2018,RIC,Red Bull Racing,12.0,20.0,12.0,15.0,91.948,100.41384905660378,6.0,1.0
Chinese Grand Prix,2018,BOT,Mercedes,22.0,55.0,5.0,4.333333333333333,91.625,100.42898113207546,3.0,2.0
Chinese Grand Prix,2018,RAI,Ferrari,15.0,65.0,10.5,7.333333333333333,91.182,101.58009259259259,2.0,3.0
Chinese Grand Prix,2018,HAM,Mercedes,33.0,55.0,2.5,4.333333333333333,91.675,100.66477358490566,4.0,4.0
